證券代碼,年月日,收盤價(元),收盤價
TX201612 台指 2016/12,2016/3/7,,"8,187"
Y9999 加權指數,2016/3/4,"8,643.55",
TX201603 台指 2016/03,2016/3/4,,"8,602"
TX201604 台指 2016/04,2016/3/4,,"8,584"
TX201606 台指 2016/06,2016/3/4,,"8,548"
TX201609 台指 2016/09,2016/3/4,,"8,204"
TX201612 台指 2016/12,2016/3/4,,"8,187"
Y9999 加權指數,2016/3/3,"8,611.79",
TX201603 台指 2016/03,2016/3/3,,"8,566"
TX201604 台指 2016/04,2016/3/3,,"8,547"
TX201606 台指 2016/06,2016/3/3,,"8,510"
TX201609 台指 2016/09,2016/3/3,,"8,174"
TX201612 台指 2016/12,2016/3/3,,"8,146"
Y9999 加權指數,2016/3/2,"8,544.05",
TX201603 台指 2016/03,2016/3/2,,"8,517"
TX201604 台指 2016/04,2016/3/2,,"8,502"
TX201606 台指 2016/06,2016/3/2,,"8,468"
TX201609 台指 2016/09,2016/3/2,,"8,130"
TX201612 台指 2016/12,2016/3/2,,"8,101"
Y9999 加權指數,2016/3/1,"8,485.69",
TX201603 台指 2016/03,2016/3/1,,"8,448"
TX201604 台指 2016/04,2016/3/1,,"8,430"
TX201606 台指 2016/06,2016/3/1,,"8,394"
TX201609 台指 2016/09,2016/3/1,,"8,059"
TX201612 台指 2016/12,2016/3/1,,"8,035"
Y9999 加權指數,2016/2/26,"8,411.16",
TX201603 台指 2016/03,2016/2/26,,"8,391"
TX201604 台指 2016/04,2016/2/26,,"8,371"
TX201606 台指 2016/06,2016/2/26,,"8,331"
TX201609 台指 2016/09,2016/2/26,,"7,985"
TX201612 台指 2016/12,2016/2/26,,"7,972"
Y9999 加權指數,2016/2/25,"8,365.86",
TX201603 台指 2016/03,2016/2/25,,"8,337"
TX201604 台指 2016/04,2016/2/25,,"8,319"
TX201606 台指 2016/06,2016/2/25,,"8,276"
TX201609 台指 2016/09,2016/2/25,,"7,945"
TX201612 台指 2016/12,2016/2/25,,"7,922"
Y9999 加權指數,2016/2/24,"8,282.86",
TX201603 台指 2016/03,2016/2/24,,"8,248"
TX201604 台指 2016/04,2016/2/24,,"8,230"
TX201606 台指 2016/06,2016/2/24,,"8,192"
TX201609 台指 2016/09,2016/2/24,,"7,860"
TX201612 台指 2016/12,2016/2/24,,"7,830"
Y9999 加權指數,2016/2/23,"8,334.64",
TX201603 台指 2016/03,2016/2/23,,"8,318"
TX201604 台指 2016/04,2016/2/23,,"8,305"
TX201606 台指 2016/06,2016/2/23,,"8,267"
TX201609 台指 2016/09,2016/2/23,,"7,931"
TX201612 台指 2016/12,2016/2/23,,"7,905"
Y9999 加權指數,2016/2/22,"8,326.68",
TX201603 台指 2016/03,2016/2/22,,"8,302"
TX201604 台指 2016/04,2016/2/22,,"8,285"
TX201606 台指 2016/06,2016/2/22,,"8,251"
TX201609 台指 2016/09,2016/2/22,,"7,918"
TX201612 台指 2016/12,2016/2/22,,"7,898"
Y9999 加權指數,2016/2/19,"8,325.04",
TX201603 台指 2016/03,2016/2/19,,"8,304"
TX201604 台指 2016/04,2016/2/19,,"8,293"
TX201606 台指 2016/06,2016/2/19,,"8,253"
TX201609 台指 2016/09,2016/2/19,,"7,926"
TX201612 台指 2016/12,2016/2/19,,"7,896"
Y9999 加權指數,2016/2/18,"8,314.67",
TX201603 台指 2016/03,2016/2/18,,"8,284"
TX201604 台指 2016/04,2016/2/18,,"8,272"
TX201606 台指 2016/06,2016/2/18,,"8,231"
TX201609 台指 2016/09,2016/2/18,,"7,899"
TX201612 台指 2016/12,2016/2/18,,"7,871"
Y9999 加權指數,2016/2/17,"8,214.25",
TX201602 台指 2016/02,2016/2/17,,"8,212"
TX201603 台指 2016/03,2016/2/17,,"8,192"
TX201606 台指 2016/06,2016/2/17,,"8,134"
TX201609 台指 2016/09,2016/2/17,,"7,808"
TX201612 台指 2016/12,2016/2/17,,"7,777"
Y9999 加權指數,2016/2/16,"8,212.07",
TX201602 台指 2016/02,2016/2/16,,"8,205"
TX201603 台指 2016/03,2016/2/16,,"8,208"
TX201606 台指 2016/06,2016/2/16,,"8,158"
TX201609 台指 2016/09,2016/2/16,,"7,833"
TX201612 台指 2016/12,2016/2/16,,"7,802"
Y9999 加權指數,2016/2/15,"8,066.51",
TX201602 台指 2016/02,2016/2/15,,"8,049"
TX201603 台指 2016/03,2016/2/15,,"8,021"
TX201606 台指 2016/06,2016/2/15,,"7,961"
TX201609 台指 2016/09,2016/2/15,,"7,643"
TX201612 台指 2016/12,2016/2/15,,"7,611"
Y9999 加權指數,2016/2/3,"8,063",
TX201602 台指 2016/02,2016/2/3,,"8,034"
TX201603 台指 2016/03,2016/2/3,,"8,011"
TX201606 台指 2016/06,2016/2/3,,"7,959"
TX201609 台指 2016/09,2016/2/3,,"7,638"
TX201612 台指 2016/12,2016/2/3,,"7,603"
Y9999 加權指數,2016/2/2,"8,131.24",
TX201602 台指 2016/02,2016/2/2,,"8,105"
TX201603 台指 2016/03,2016/2/2,,"8,085"
TX201606 台指 2016/06,2016/2/2,,"8,031"
TX201609 台指 2016/09,2016/2/2,,"7,707"
TX201612 台指 2016/12,2016/2/2,,"7,689"
Y9999 加權指數,2016/2/1,"8,156.96",
TX201602 台指 2016/02,2016/2/1,,"8,124"
TX201603 台指 2016/03,2016/2/1,,"8,101"
TX201606 台指 2016/06,2016/2/1,,"8,059"
TX201609 台指 2016/09,2016/2/1,,"7,738"
TX201612 台指 2016/12,2016/2/1,,"7,709"
Y9999 加權指數,2016/1/30,"8,145.21",
TX201602 台指 2016/02,2016/1/30,,"8,163"
TX201603 台指 2016/03,2016/1/30,,"8,144"
TX201606 台指 2016/06,2016/1/30,,"8,101"
TX201609 台指 2016/09,2016/1/30,,"7,789"
TX201612 台指 2016/12,2016/1/30,,"7,752"
Y9999 加權指數,2016/1/29,"8,080.60",
TX201602 台指 2016/02,2016/1/29,,"8,053"
TX201603 台指 2016/03,2016/1/29,,"8,033"
TX201606 台指 2016/06,2016/1/29,,"7,979"
TX201609 台指 2016/09,2016/1/29,,"7,660"
TX201612 台指 2016/12,2016/1/29,,"7,628"
Y9999 加權指數,2016/1/28,"7,905.10",
TX201602 台指 2016/02,2016/1/28,,"7,855"
TX201603 台指 2016/03,2016/1/28,,"7,829"
TX201606 台指 2016/06,2016/1/28,,"7,774"
TX201609 台指 2016/09,2016/1/28,,"7,458"
TX201612 台指 2016/12,2016/1/28,,"7,428"
Y9999 加權指數,2016/1/27,"7,849.83",
TX201602 台指 2016/02,2016/1/27,,"7,839"
TX201603 台指 2016/03,2016/1/27,,"7,810"
TX201606 台指 2016/06,2016/1/27,,"7,751"
TX201609 台指 2016/09,2016/1/27,,"7,443"
TX201612 台指 2016/12,2016/1/27,,"7,412"
Y9999 加權指數,2016/1/26,"7,828.67",
TX201602 台指 2016/02,2016/1/26,,"7,779"
TX201603 台指 2016/03,2016/1/26,,"7,750"
TX201606 台指 2016/06,2016/1/26,,"7,696"
TX201609 台指 2016/09,2016/1/26,,"7,381"
TX201612 台指 2016/12,2016/1/26,,"7,352"
Y9999 加權指數,2016/1/25,"7,894.15",
TX201602 台指 2016/02,2016/1/25,,"7,833"
TX201603 台指 2016/03,2016/1/25,,"7,808"
TX201606 台指 2016/06,2016/1/25,,"7,756"
TX201609 台指 2016/09,2016/1/25,,"7,446"
TX201612 台指 2016/12,2016/1/25,,"7,411"
Y9999 加權指數,2016/1/22,"7,756.18",
TX201602 台指 2016/02,2016/1/22,,"7,748"
TX201603 台指 2016/03,2016/1/22,,"7,721"
TX201606 台指 2016/06,2016/1/22,,"7,667"
TX201609 台指 2016/09,2016/1/22,,"7,359"
TX201612 台指 2016/12,2016/1/22,,"7,327"
Y9999 加權指數,2016/1/21,"7,664.01",
TX201602 台指 2016/02,2016/1/21,,"7,613"
TX201603 台指 2016/03,2016/1/21,,"7,591"
TX201606 台指 2016/06,2016/1/21,,"7,531"
TX201609 台指 2016/09,2016/1/21,,"7,225"
TX201612 台指 2016/12,2016/1/21,,"7,188"
Y9999 加權指數,2016/1/20,"7,699.12",
TX201601 台指 2016/01,2016/1/20,,"7,705"
TX201602 台指 2016/02,2016/1/20,,"7,592"
TX201603 台指 2016/03,2016/1/20,,"7,569"
TX201606 台指 2016/06,2016/1/20,,"7,530"
TX201609 台指 2016/09,2016/1/20,,"7,239"
Y9999 加權指數,2016/1/19,"7,854.88",
TX201601 台指 2016/01,2016/1/19,,"7,867"
TX201602 台指 2016/02,2016/1/19,,"7,837"
TX201603 台指 2016/03,2016/1/19,,"7,818"
TX201606 台指 2016/06,2016/1/19,,"7,784"
TX201609 台指 2016/09,2016/1/19,,"7,484"
Y9999 加權指數,2016/1/18,"7,811.18",
TX201601 台指 2016/01,2016/1/18,,"7,814"
TX201602 台指 2016/02,2016/1/18,,"7,790"
TX201603 台指 2016/03,2016/1/18,,"7,771"
TX201606 台指 2016/06,2016/1/18,,"7,732"
TX201609 台指 2016/09,2016/1/18,,"7,428"
Y9999 加權指數,2016/1/15,"7,762.01",
TX201601 台指 2016/01,2016/1/15,,"7,665"
TX201602 台指 2016/02,2016/1/15,,"7,637"
TX201603 台指 2016/03,2016/1/15,,"7,622"
TX201606 台指 2016/06,2016/1/15,,"7,594"
TX201609 台指 2016/09,2016/1/15,,"7,299"
Y9999 加權指數,2016/1/14,"7,742.88",
TX201601 台指 2016/01,2016/1/14,,"7,716"
TX201602 台指 2016/02,2016/1/14,,"7,694"
TX201603 台指 2016/03,2016/1/14,,"7,677"
TX201606 台指 2016/06,2016/1/14,,"7,650"
TX201609 台指 2016/09,2016/1/14,,"7,344"
Y9999 加權指數,2016/1/13,"7,824.61",
TX201601 台指 2016/01,2016/1/13,,"7,806"
TX201602 台指 2016/02,2016/1/13,,"7,779"
TX201603 台指 2016/03,2016/1/13,,"7,762"
TX201606 台指 2016/06,2016/1/13,,"7,734"
TX201609 台指 2016/09,2016/1/13,,"7,435"
Y9999 加權指數,2016/1/12,"7,768.45",
TX201601 台指 2016/01,2016/1/12,,"7,709"
TX201602 台指 2016/02,2016/1/12,,"7,679"
TX201603 台指 2016/03,2016/1/12,,"7,660"
TX201606 台指 2016/06,2016/1/12,,"7,630"
TX201609 台指 2016/09,2016/1/12,,"7,342"
Y9999 加權指數,2016/1/11,"7,788.42",
TX201601 台指 2016/01,2016/1/11,,"7,740"
TX201602 台指 2016/02,2016/1/11,,"7,718"
TX201603 台指 2016/03,2016/1/11,,"7,701"
TX201606 台指 2016/06,2016/1/11,,"7,676"
TX201609 台指 2016/09,2016/1/11,,"7,392"
Y9999 加權指數,2016/1/8,"7,893.97",
TX201601 台指 2016/01,2016/1/8,,"7,868"
TX201602 台指 2016/02,2016/1/8,,"7,846"
TX201603 台指 2016/03,2016/1/8,,"7,831"
TX201606 台指 2016/06,2016/1/8,,"7,811"
TX201609 台指 2016/09,2016/1/8,,"7,519"
Y9999 加權指數,2016/1/7,"7,852.06",
TX201601 台指 2016/01,2016/1/7,,"7,799"
TX201602 台指 2016/02,2016/1/7,,"7,783"
TX201603 台指 2016/03,2016/1/7,,"7,779"
TX201606 台指 2016/06,2016/1/7,,"7,754"
TX201609 台指 2016/09,2016/1/7,,"7,478"
Y9999 加權指數,2016/1/6,"7,990.39",
TX201601 台指 2016/01,2016/1/6,,"7,971"
TX201602 台指 2016/02,2016/1/6,,"7,957"
TX201603 台指 2016/03,2016/1/6,,"7,945"
TX201606 台指 2016/06,2016/1/6,,"7,928"
TX201609 台指 2016/09,2016/1/6,,"7,647"
Y9999 加權指數,2016/1/5,"8,075.11",
TX201601 台指 2016/01,2016/1/5,,"8,025"
TX201602 台指 2016/02,2016/1/5,,"8,008"
TX201603 台指 2016/03,2016/1/5,,"8,000"
TX201606 台指 2016/06,2016/1/5,,"7,980"
TX201609 台指 2016/09,2016/1/5,,"7,703"
Y9999 加權指數,2016/1/4,"8,114.26",
TX201601 台指 2016/01,2016/1/4,,"8,075"
TX201602 台指 2016/02,2016/1/4,,"8,057"
TX201603 台指 2016/03,2016/1/4,,"8,049"
TX201606 台指 2016/06,2016/1/4,,"8,029"
TX201609 台指 2016/09,2016/1/4,,"7,744"
Y9999 加權指數,2015/12/31,"8,338.06",
TX201601 台指 2016/01,2015/12/31,,"8,272"
TX201602 台指 2016/02,2015/12/31,,"8,265"
TX201603 台指 2016/03,2015/12/31,,"8,257"
TX201606 台指 2016/06,2015/12/31,,"8,239"
TX201609 台指 2016/09,2015/12/31,,"7,954"
Y9999 加權指數,2015/12/30,"8,279.99",
TX201601 台指 2016/01,2015/12/30,,"8,260"
TX201602 台指 2016/02,2015/12/30,,"8,249"
TX201603 台指 2016/03,2015/12/30,,"8,243"
TX201606 台指 2016/06,2015/12/30,,"8,226"
TX201609 台指 2016/09,2015/12/30,,"7,938"
Y9999 加權指數,2015/12/29,"8,293.91",
TX201601 台指 2016/01,2015/12/29,,"8,287"
TX201602 台指 2016/02,2015/12/29,,"8,279"
TX201603 台指 2016/03,2015/12/29,,"8,270"
TX201606 台指 2016/06,2015/12/29,,"8,256"
TX201609 台指 2016/09,2015/12/29,,"7,970"
Y9999 加權指數,2015/12/28,"8,358.49",
TX201601 台指 2016/01,2015/12/28,,"8,356"
TX201602 台指 2016/02,2015/12/28,,"8,345"
TX201603 台指 2016/03,2015/12/28,,"8,333"
TX201606 台指 2016/06,2015/12/28,,"8,311"
TX201609 台指 2016/09,2015/12/28,,"8,033"
Y9999 加權指數,2015/12/25,"8,363.28",
TX201601 台指 2016/01,2015/12/25,,"8,376"
TX201602 台指 2016/02,2015/12/25,,"8,368"
TX201603 台指 2016/03,2015/12/25,,"8,351"
TX201606 台指 2016/06,2015/12/25,,"8,331"
TX201609 台指 2016/09,2015/12/25,,"8,045"
Y9999 加權指數,2015/12/24,"8,324.36",
TX201601 台指 2016/01,2015/12/24,,"8,317"
TX201602 台指 2016/02,2015/12/24,,"8,305"
TX201603 台指 2016/03,2015/12/24,,"8,292"
TX201606 台指 2016/06,2015/12/24,,"8,266"
TX201609 台指 2016/09,2015/12/24,,"7,991"
Y9999 加權指數,2015/12/23,"8,315.70",
TX201601 台指 2016/01,2015/12/23,,"8,290"
TX201602 台指 2016/02,2015/12/23,,"8,275"
TX201603 台指 2016/03,2015/12/23,,"8,261"
TX201606 台指 2016/06,2015/12/23,,"8,245"
TX201609 台指 2016/09,2015/12/23,,"7,958"
Y9999 加權指數,2015/12/22,"8,292.74",
TX201601 台指 2016/01,2015/12/22,,"8,277"
TX201602 台指 2016/02,2015/12/22,,"8,260"
TX201603 台指 2016/03,2015/12/22,,"8,245"
TX201606 台指 2016/06,2015/12/22,,"8,224"
TX201609 台指 2016/09,2015/12/22,,"7,939"
Y9999 加權指數,2015/12/21,"8,282.17",
TX201601 台指 2016/01,2015/12/21,,"8,280"
TX201602 台指 2016/02,2015/12/21,,"8,265"
TX201603 台指 2016/03,2015/12/21,,"8,255"
TX201606 台指 2016/06,2015/12/21,,"8,237"
TX201609 台指 2016/09,2015/12/21,,"7,939"
Y9999 加權指數,2015/12/18,"8,257.32",
TX201601 台指 2016/01,2015/12/18,,"8,231"
TX201602 台指 2016/02,2015/12/18,,"8,218"
TX201603 台指 2016/03,2015/12/18,,"8,211"
TX201606 台指 2016/06,2015/12/18,,"8,189"
TX201609 台指 2016/09,2015/12/18,,"7,892"
Y9999 加權指數,2015/12/17,"8,319.67",
TX201601 台指 2016/01,2015/12/17,,"8,281"
TX201602 台指 2016/02,2015/12/17,,"8,271"
TX201603 台指 2016/03,2015/12/17,,"8,264"
TX201606 台指 2016/06,2015/12/17,,"8,248"
TX201609 台指 2016/09,2015/12/17,,"7,955"
Y9999 加權指數,2015/12/16,"8,184.66",
TX201512 台指 2015/12,2015/12/16,,"8,198"
TX201601 台指 2016/01,2015/12/16,,"8,170"
TX201603 台指 2016/03,2015/12/16,,"8,153"
TX201606 台指 2016/06,2015/12/16,,"8,137"
TX201609 台指 2016/09,2015/12/16,,"7,849"
Y9999 加權指數,2015/12/15,"8,073.35",
TX201512 台指 2015/12,2015/12/15,,"8,066"
TX201601 台指 2016/01,2015/12/15,,"8,044"
TX201603 台指 2016/03,2015/12/15,,"8,026"
TX201606 台指 2016/06,2015/12/15,,"8,010"
TX201609 台指 2016/09,2015/12/15,,"7,729"
Y9999 加權指數,2015/12/14,"8,040.16",
TX201512 台指 2015/12,2015/12/14,,"8,058"
TX201601 台指 2016/01,2015/12/14,,"8,046"
TX201603 台指 2016/03,2015/12/14,,"8,027"
TX201606 台指 2016/06,2015/12/14,,"8,015"
TX201609 台指 2016/09,2015/12/14,,"7,730"
Y9999 加權指數,2015/12/11,"8,115.89",
TX201512 台指 2015/12,2015/12/11,,"8,071"
TX201601 台指 2016/01,2015/12/11,,"8,058"
TX201603 台指 2016/03,2015/12/11,,"8,047"
TX201606 台指 2016/06,2015/12/11,,"8,035"
TX201609 台指 2016/09,2015/12/11,,"7,750"
Y9999 加權指數,2015/12/10,"8,216.17",
TX201512 台指 2015/12,2015/12/10,,"8,188"
TX201601 台指 2016/01,2015/12/10,,"8,178"
TX201603 台指 2016/03,2015/12/10,,"8,166"
TX201606 台指 2016/06,2015/12/10,,"8,152"
TX201609 台指 2016/09,2015/12/10,,"7,869"
Y9999 加權指數,2015/12/9,"8,229.62",
TX201512 台指 2015/12,2015/12/9,,"8,221"
TX201601 台指 2016/01,2015/12/9,,"8,217"
TX201603 台指 2016/03,2015/12/9,,"8,205"
TX201606 台指 2016/06,2015/12/9,,"8,190"
TX201609 台指 2016/09,2015/12/9,,"7,906"
Y9999 加權指數,2015/12/8,"8,343.86",
TX201512 台指 2015/12,2015/12/8,,"8,334"
TX201601 台指 2016/01,2015/12/8,,"8,331"
TX201603 台指 2016/03,2015/12/8,,"8,322"
TX201606 台指 2016/06,2015/12/8,,"8,302"
TX201609 台指 2016/09,2015/12/8,,"8,015"
Y9999 加權指數,2015/12/7,"8,454.27",
TX201512 台指 2015/12,2015/12/7,,"8,468"
TX201601 台指 2016/01,2015/12/7,,"8,464"
TX201603 台指 2016/03,2015/12/7,,"8,460"
TX201606 台指 2016/06,2015/12/7,,"8,439"
TX201609 台指 2016/09,2015/12/7,,"8,148"
Y9999 加權指數,2015/12/4,"8,398.60",
TX201512 台指 2015/12,2015/12/4,,"8,397"
TX201601 台指 2016/01,2015/12/4,,"8,393"
TX201603 台指 2016/03,2015/12/4,,"8,382"
TX201606 台指 2016/06,2015/12/4,,"8,362"
TX201609 台指 2016/09,2015/12/4,,"8,070"
Y9999 加權指數,2015/12/3,"8,456.06",
TX201512 台指 2015/12,2015/12/3,,"8,476"
TX201601 台指 2016/01,2015/12/3,,"8,473"
TX201603 台指 2016/03,2015/12/3,,"8,450"
TX201606 台指 2016/06,2015/12/3,,"8,434"
TX201609 台指 2016/09,2015/12/3,,"8,147"
Y9999 加權指數,2015/12/2,"8,457.40",
TX201512 台指 2015/12,2015/12/2,,"8,452"
TX201601 台指 2016/01,2015/12/2,,"8,451"
TX201603 台指 2016/03,2015/12/2,,"8,439"
TX201606 台指 2016/06,2015/12/2,,"8,420"
TX201609 台指 2016/09,2015/12/2,,"8,128"
Y9999 加權指數,2015/12/1,"8,463.30",
TX201512 台指 2015/12,2015/12/1,,"8,456"
TX201601 台指 2016/01,2015/12/1,,"8,456"
TX201603 台指 2016/03,2015/12/1,,"8,444"
TX201606 台指 2016/06,2015/12/1,,"8,425"
TX201609 台指 2016/09,2015/12/1,,"8,134"
Y9999 加權指數,2015/11/30,"8,320.61",
TX201512 台指 2015/12,2015/11/30,,"8,300"
TX201601 台指 2016/01,2015/11/30,,"8,296"
TX201603 台指 2016/03,2015/11/30,,"8,286"
TX201606 台指 2016/06,2015/11/30,,"8,267"
TX201609 台指 2016/09,2015/11/30,,"7,983"
Y9999 加權指數,2015/11/27,"8,398.40",
TX201512 台指 2015/12,2015/11/27,,"8,393"
TX201601 台指 2016/01,2015/11/27,,"8,389"
TX201603 台指 2016/03,2015/11/27,,"8,378"
TX201606 台指 2016/06,2015/11/27,,"8,349"
TX201609 台指 2016/09,2015/11/27,,"8,068"
Y9999 加權指數,2015/11/26,"8,484.90",
TX201512 台指 2015/12,2015/11/26,,"8,502"
TX201601 台指 2016/01,2015/11/26,,"8,497"
TX201603 台指 2016/03,2015/11/26,,"8,485"
TX201606 台指 2016/06,2015/11/26,,"8,463"
TX201609 台指 2016/09,2015/11/26,,"8,173"
Y9999 加權指數,2015/11/25,"8,386.13",
TX201512 台指 2015/12,2015/11/25,,"8,388"
TX201601 台指 2016/01,2015/11/25,,"8,383"
TX201603 台指 2016/03,2015/11/25,,"8,361"
TX201606 台指 2016/06,2015/11/25,,"8,343"
TX201609 台指 2016/09,2015/11/25,,"8,052"
Y9999 加權指數,2015/11/24,"8,400.14",
TX201512 台指 2015/12,2015/11/24,,"8,402"
TX201601 台指 2016/01,2015/11/24,,"8,395"
TX201603 台指 2016/03,2015/11/24,,"8,378"
TX201606 台指 2016/06,2015/11/24,,"8,359"
TX201609 台指 2016/09,2015/11/24,,"8,064"
Y9999 加權指數,2015/11/23,"8,485.73",
TX201512 台指 2015/12,2015/11/23,,"8,478"
TX201601 台指 2016/01,2015/11/23,,"8,475"
TX201603 台指 2016/03,2015/11/23,,"8,458"
TX201606 台指 2016/06,2015/11/23,,"8,436"
TX201609 台指 2016/09,2015/11/23,,"8,146"
Y9999 加權指數,2015/11/20,"8,465.45",
TX201512 台指 2015/12,2015/11/20,,"8,444"
TX201601 台指 2016/01,2015/11/20,,"8,437"
TX201603 台指 2016/03,2015/11/20,,"8,418"
TX201606 台指 2016/06,2015/11/20,,"8,400"
TX201609 台指 2016/09,2015/11/20,,"8,104"
Y9999 加權指數,2015/11/19,"8,477.20",
TX201512 台指 2015/12,2015/11/19,,"8,447"
TX201601 台指 2016/01,2015/11/19,,"8,441"
TX201603 台指 2016/03,2015/11/19,,"8,420"
TX201606 台指 2016/06,2015/11/19,,"8,402"
TX201609 台指 2016/09,2015/11/19,,"8,109"
Y9999 加權指數,2015/11/18,"8,340.47",
TX201511 台指 2015/11,2015/11/18,,"8,336"
TX201512 台指 2015/12,2015/11/18,,"8,276"
TX201603 台指 2016/03,2015/11/18,,"8,248"
TX201606 台指 2016/06,2015/11/18,,"8,225"
TX201609 台指 2016/09,2015/11/18,,"7,950"
Y9999 加權指數,2015/11/17,"8,419.42",
TX201511 台指 2015/11,2015/11/17,,"8,440"
TX201512 台指 2015/12,2015/11/17,,"8,435"
TX201603 台指 2016/03,2015/11/17,,"8,409"
TX201606 台指 2016/06,2015/11/17,,"8,383"
TX201609 台指 2016/09,2015/11/17,,"8,092"
Y9999 加權指數,2015/11/16,"8,295.40",
TX201511 台指 2015/11,2015/11/16,,"8,290"
TX201512 台指 2015/12,2015/11/16,,"8,284"
TX201603 台指 2016/03,2015/11/16,,"8,255"
TX201606 台指 2016/06,2015/11/16,,"8,236"
TX201609 台指 2016/09,2015/11/16,,"7,952"
Y9999 加權指數,2015/11/13,"8,329.50",
TX201511 台指 2015/11,2015/11/13,,"8,356"
TX201512 台指 2015/12,2015/11/13,,"8,358"
TX201603 台指 2016/03,2015/11/13,,"8,329"
TX201606 台指 2016/06,2015/11/13,,"8,300"
TX201609 台指 2016/09,2015/11/13,,"8,008"
Y9999 加權指數,2015/11/12,"8,428.09",
TX201511 台指 2015/11,2015/11/12,,"8,461"
TX201512 台指 2015/12,2015/11/12,,"8,450"
TX201603 台指 2016/03,2015/11/12,,"8,427"
TX201606 台指 2016/06,2015/11/12,,"8,410"
TX201609 台指 2016/09,2015/11/12,,"8,120"
Y9999 加權指數,2015/11/11,"8,415.01",
TX201511 台指 2015/11,2015/11/11,,"8,380"
TX201512 台指 2015/12,2015/11/11,,"8,376"
TX201603 台指 2016/03,2015/11/11,,"8,356"
TX201606 台指 2016/06,2015/11/11,,"8,345"
TX201609 台指 2016/09,2015/11/11,,"8,075"
Y9999 加權指數,2015/11/10,"8,536.90",
TX201511 台指 2015/11,2015/11/10,,"8,532"
TX201512 台指 2015/12,2015/11/10,,"8,536"
TX201603 台指 2016/03,2015/11/10,,"8,518"
TX201606 台指 2016/06,2015/11/10,,"8,516"
TX201609 台指 2016/09,2015/11/10,,"8,221"
Y9999 加權指數,2015/11/9,"8,642.48",
TX201511 台指 2015/11,2015/11/9,,"8,631"
TX201512 台指 2015/12,2015/11/9,,"8,635"
TX201603 台指 2016/03,2015/11/9,,"8,622"
TX201606 台指 2016/06,2015/11/9,,"8,616"
TX201609 台指 2016/09,2015/11/9,,"8,320"
Y9999 加權指數,2015/11/6,"8,693.57",
TX201511 台指 2015/11,2015/11/6,,"8,689"
TX201512 台指 2015/12,2015/11/6,,"8,699"
TX201603 台指 2016/03,2015/11/6,,"8,690"
TX201606 台指 2016/06,2015/11/6,,"8,680"
TX201609 台指 2016/09,2015/11/6,,"8,385"
Y9999 加權指數,2015/11/5,"8,850.18",
TX201511 台指 2015/11,2015/11/5,,"8,870"
TX201512 台指 2015/12,2015/11/5,,"8,881"
TX201603 台指 2016/03,2015/11/5,,"8,870"
TX201606 台指 2016/06,2015/11/5,,"8,859"
TX201609 台指 2016/09,2015/11/5,,"8,581"
Y9999 加權指數,2015/11/4,"8,857.02",
TX201511 台指 2015/11,2015/11/4,,"8,882"
TX201512 台指 2015/12,2015/11/4,,"8,892"
TX201603 台指 2016/03,2015/11/4,,"8,872"
TX201606 台指 2016/06,2015/11/4,,"8,864"
TX201609 台指 2016/09,2015/11/4,,"8,591"
Y9999 加權指數,2015/11/3,"8,713.19",
TX201511 台指 2015/11,2015/11/3,,"8,721"
TX201512 台指 2015/12,2015/11/3,,"8,722"
TX201603 台指 2016/03,2015/11/3,,"8,708"
TX201606 台指 2016/06,2015/11/3,,"8,703"
TX201609 台指 2016/09,2015/11/3,,"8,433"
Y9999 加權指數,2015/11/2,"8,614.77",
TX201511 台指 2015/11,2015/11/2,,"8,583"
TX201512 台指 2015/12,2015/11/2,,"8,585"
TX201603 台指 2016/03,2015/11/2,,"8,575"
TX201606 台指 2016/06,2015/11/2,,"8,570"
TX201609 台指 2016/09,2015/11/2,,"8,301"
Y9999 加權指數,2015/10/30,"8,554.31",
TX201511 台指 2015/11,2015/10/30,,"8,568"
TX201512 台指 2015/12,2015/10/30,,"8,569"
TX201603 台指 2016/03,2015/10/30,,"8,555"
TX201606 台指 2016/06,2015/10/30,,"8,551"
TX201609 台指 2016/09,2015/10/30,,"8,280"
Y9999 加權指數,2015/10/29,"8,571.08",
TX201511 台指 2015/11,2015/10/29,,"8,550"
TX201512 台指 2015/12,2015/10/29,,"8,547"
TX201603 台指 2016/03,2015/10/29,,"8,535"
TX201606 台指 2016/06,2015/10/29,,"8,530"
TX201609 台指 2016/09,2015/10/29,,"8,266"
Y9999 加權指數,2015/10/28,"8,665.99",
TX201511 台指 2015/11,2015/10/28,,"8,638"
TX201512 台指 2015/12,2015/10/28,,"8,638"
TX201603 台指 2016/03,2015/10/28,,"8,639"
TX201606 台指 2016/06,2015/10/28,,"8,629"
TX201609 台指 2016/09,2015/10/28,,"8,357"
Y9999 加權指數,2015/10/27,"8,701.32",
TX201511 台指 2015/11,2015/10/27,,"8,691"
TX201512 台指 2015/12,2015/10/27,,"8,692"
TX201603 台指 2016/03,2015/10/27,,"8,684"
TX201606 台指 2016/06,2015/10/27,,"8,681"
TX201609 台指 2016/09,2015/10/27,,"8,412"
Y9999 加權指數,2015/10/26,"8,745.36",
TX201511 台指 2015/11,2015/10/26,,"8,736"
TX201512 台指 2015/12,2015/10/26,,"8,733"
TX201603 台指 2016/03,2015/10/26,,"8,720"
TX201606 台指 2016/06,2015/10/26,,"8,718"
TX201609 台指 2016/09,2015/10/26,,"8,450"
Y9999 加權指數,2015/10/23,"8,673.81",
